ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,weekday
C2575DBDE1231585,classic_bike,"2023-12-26 08:08:00","2023-12-26 08:37:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Clinton St & Madison St",TA1305000032,42,-88,42,-88,member,29,Tuesday
EA346F886BDD07EB,classic_bike,"2023-12-14 18:22:00","2023-12-14 18:54:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Carpenter St & Huron St",13196,42,-88,42,-88,member,32,Thursday
0E94631F75C6026C,classic_bike,"2023-12-02 11:16:00","2023-12-02 11:19:00","Green St & Washington Blvd",13053,"Clinton St & Madison St",TA1305000032,42,-88,42,-88,member,3,Saturday
9FA5F35D8086232E,classic_bike,"2023-12-10 20:46:00","2023-12-10 20:56:00","Wabash Ave & Roosevelt Rd",TA1305000002,"DuSable Lake Shore Dr & Monroe St",13300,42,-88,42,-88,member,10,Sunday
05012C06C8D5C88D,classic_bike,"2023-12-10 07:20:00","2023-12-10 07:28:00","Morgan St & 31st St",TA1308000046,"Wentworth Ave & 33rd St",15445,42,-88,42,-88,member,8,Sunday
9ACC4C69E322E180,classic_bike,"2023-12-13 09:05:00","2023-12-13 09:16:00","Ashland Ave & Grand Ave",13434,"Clinton St & Madison St",TA1305000032,42,-88,42,-88,member,11,Wednesday
347AC8E04CD8CE32,classic_bike,"2023-12-29 19:50:00","2023-12-29 20:00:00","Ashland Ave & Grand Ave",13434,"Ashland Ave & Blackhawk St",13224,42,-88,42,-88,member,10,Friday
CF15064EA6A82FB1,electric_bike,"2023-12-19 15:09:00","2023-12-19 15:13:00","LaSalle St & Jackson Blvd",TA1309000004,"Clinton St & Madison St",TA1305000032,42,-88,42,-88,member,4,Tuesday
A646622F5D22C754,classic_bike,"2023-12-06 15:32:00","2023-12-06 15:36:00","LaSalle St & Jackson Blvd",TA1309000004,"Clinton St & Madison St",TA1305000032,42,-88,42,-88,member,4,Wednesday
C467E198D486D3AB,electric_bike,"2023-12-11 16:43:00","2023-12-11 16:58:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Clinton St & Madison St",TA1305000032,42,-88,42,-88,member,15,Monday
